电影名称,封面链接,导演,编剧,主演,类型,制片国家/地区,语言,上映日期,片长,豆瓣评分,评价人数
死亡诗社,https://img1.doubanio.com/view/photo/m_ratio_poster/public/p2575465690.jpg,彼得·威尔,汤姆·舒尔曼,罗宾·威廉姆斯 / 罗伯特·肖恩·莱纳德 / 伊桑·霍克 / 乔西·查尔斯 / 盖尔·汉森 / 迪伦·库斯曼 / 阿勒隆·鲁杰罗 / 詹姆斯·沃特斯顿,剧情,美国,英语 / 拉丁语,1989-06-02(多伦多首映),128 分钟,9.2,900715
猫鼠游戏,https://img2.doubanio.com/view/photo/m_ratio_poster/public/p453924541.jpg,史蒂文·斯皮尔伯格,杰夫·内桑森,莱昂纳多·迪卡普里奥 / 汤姆·汉克斯 / 克里斯托弗·沃肯 / 马丁·辛 / 艾米·亚当斯 / 詹妮弗·加纳 / 伊丽莎白·班克斯 / 纳塔莉·贝伊,剧情 / 传记 / 犯罪,美国 / 加拿大,英语 / 法语,2003-04-11(中国大陆),141 分钟,9.1,1231200
教父2,https://img3.doubanio.com/view/photo/m_ratio_poster/public/p2194138787.jpg,弗朗西斯·福特·科波拉,弗朗西斯·福特·科波拉,阿尔·帕西诺 / 罗伯特·杜瓦尔 / 黛安·基顿 / 罗伯特·德尼罗 / 约翰·凯泽尔 / 塔莉娅·夏尔 / 李·斯特拉斯伯格 / 迈克尔·V·格佐,剧情 / 犯罪,美国,英语 / 意大利语 / 西班牙语 / 拉丁语 / 西西里语,1974-12-12(纽约首映),202分钟,9.3,651098
少年派的奇幻漂流,https://img2.doubanio.com/view/photo/m_ratio_poster/public/p1784592701.jpg,李安,拉菲·斯波 / 扬·马特尔,苏拉·沙玛 / 伊尔凡·可汗 / 拉菲·斯波 / 阿迪勒·侯赛因 / 塔布 / 阿尤什·坦东 / 加塔姆·贝鲁尔 / 阿彦·汗,剧情 / 奇幻 / 冒险,美国 / 中国台湾 / 英国 / 加拿大,英语 / 泰米尔语 / 法语 / 日语 / 印地语 / 汉语普通话,2012-11-22(中国大陆),127分钟,9.1,1505822
摔跤吧！爸爸,https://img1.doubanio.com/view/photo/m_ratio_poster/public/p2401676338.jpg,涅提·蒂瓦里,比于什·古普塔,阿米尔·汗 / 法缇玛·萨那·纱卡 / 桑亚·玛荷塔 / 阿帕尔夏克提·库拉那 / 沙克希·坦沃 / 塞伊拉·沃西 / 苏哈妮·巴特纳格尔 / 里特维克·萨霍里,剧情 / 家庭 / 传记,印度,印地语 / 英语,2017-05-05(中国大陆),161分钟(印度) / 140分钟(中国大陆),9.0,1767839
鬼子来了,https://img1.doubanio.com/view/photo/m_ratio_poster/public/p2930874010.jpg,姜文,姜文,姜文 / 香川照之 / 袁丁 / 姜宏波 / 丛志军 / 李丛喜 / 泽田谦也 / 李海滨,剧情 / 喜剧,中国大陆,汉语普通话 / 日语 / 唐山话,2000-05-12(戛纳电影节),139分钟 / 162分钟(戛纳电影节),9.3,726195
让子弹飞,https://img3.doubanio.com/view/photo/m_ratio_poster/public/p1512562287.jpg,姜文,朱苏进,姜文 / 葛优 / 周润发 / 刘嘉玲 / 陈坤 / 张默 / 姜武 / 周韵,剧情 / 喜剧 / 动作,中国大陆 / 中国香港,汉语普通话 / 四川话 / 山西话,2010-12-16(中国大陆),132分钟,9.0,1942979
何以为家,https://img3.doubanio.com/view/photo/m_ratio_poster/public/p2875749222.jpg,娜丁·拉巴基,娜丁·拉巴基,赞恩·阿尔·拉菲亚 / 约丹诺斯·希费罗 / 博鲁瓦蒂夫·特雷杰·班科尔 / 卡萨尔·艾尔·哈达德 / 法迪·尤瑟夫 / 海塔·塞德拉·伊扎姆 / 阿拉·乔什涅 / 娜丁·拉巴基,剧情,黎巴嫩 / 美国 / 法国 / 塞浦路斯 / 卡塔尔 / 英国,阿拉伯语 / 阿姆哈拉语,2019-04-29(中国大陆),126分钟 / 117分钟(中国大陆),9.1,1174372
指环王2：双塔奇兵,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2640236255.jpg,彼得·杰克逊,弗兰·威尔士,伊利亚·伍德 / 西恩·奥斯汀 / 多米尼克·莫纳汉 / 奥兰多·布鲁姆 / 维果·莫腾森 / 伊恩·麦克莱恩 / 凯特·布兰切特 / 比利·博伊德,剧情 / 动作 / 奇幻,美国 / 新西兰,英语 / 辛达林语 / 古代英语,2003-04-25(中国大陆),180分钟 / 223分钟(加长版) / 235分钟(蓝光加长版),9.2,870518
狮子王,https://img3.doubanio.com/view/photo/m_ratio_poster/public/p726659067.jpg,罗杰·阿勒斯 / 罗伯·明可夫,,乔纳森·泰勒·托马斯 / 马修·布罗德里克 / 杰瑞米·艾恩斯 / 詹姆斯·厄尔·琼斯 / 莫伊拉·凯利 / 内森·连恩 / 尼基塔·卡兰姆 / 埃林·萨贝拉,动画 / 歌舞 / 冒险,美国,英语 / 斯瓦希里语 / 科萨语 / 祖鲁语,1995-07-15(中国大陆),89 分钟,9.1,974459
饮食男女,https://img2.doubanio.com/view/photo/m_ratio_poster/public/p1910899751.jpg,李安,李安,郎雄 / 杨贵媚 / 吴倩莲 / 王渝文 / 张艾嘉 / 归亚蕾 / 赵文瑄 / 陈昭荣,剧情 / 家庭,中国台湾 / 美国,汉语普通话 / 闽南语 / 湖南话,1994-07-02(中国台湾),124分钟,9.2,739393
机器人之梦,https://img1.doubanio.com/view/photo/m_ratio_poster/public/p2928203369.jpg,巴勃罗·贝格尔,巴勃罗·贝格尔,伊万·拉班达,剧情 / 动画 / 音乐,西班牙 / 法国,无对白,2024-06-08(中国大陆),102分钟,9.1,465638
穿条纹睡衣的男孩,https://img3.doubanio.com/view/photo/m_ratio_poster/public/p1473670352.jpg,马克·赫尔曼,约翰·伯恩,阿萨·巴特菲尔德 / 维拉·法米加 / 卡拉·霍根 / 祖萨·霍尔 / 安贝尔·比蒂 / 拉斯洛·阿隆 / 大卫·休里斯 / 理查德·约翰逊,剧情 / 战争,英国 / 美国,英语 / 西班牙语,2008-08-28(卡内基电影节),94分钟,9.2,650228
绿皮书,https://img2.doubanio.com/view/photo/m_ratio_poster/public/p2531065411.jpg,彼得·法雷里,尼克·瓦莱隆加,维果·莫腾森 / 马赫沙拉·阿里 / 琳达·卡德里尼 / 塞巴斯蒂安·马尼斯科 / 迪米特·D·马里诺夫 / 迈克·哈顿 / P·J·伯恩 / 乔·柯蒂斯,剧情 / 喜剧 / 音乐,美国 / 中国大陆,英语 / 意大利语 / 俄语 / 德语,2019-03-01(中国大陆),130分钟,8.9,1920097
大话西游之月光宝盒,https://img3.doubanio.com/view/photo/m_ratio_poster/public/p2561721372.jpg,刘镇伟,刘镇伟,周星驰 / 吴孟达 / 罗家英 / 蓝洁瑛 / 莫文蔚 / 江约诚 / 陆树铭 / 刘镇伟,喜剧 / 爱情 / 奇幻,中国香港 / 中国大陆,粤语 / 汉语普通话,2014-10-24(中国大陆),88分钟,9.0,1384712
闻香识女人,https://img1.doubanio.com/view/photo/m_ratio_poster/public/p2550757929.jpg,马丁·布莱斯特,博·古德曼,阿尔·帕西诺 / 克里斯·奥唐纳 / 詹姆斯·瑞布霍恩 / 加布里埃尔·安瓦尔 / 菲利普·塞默·霍夫曼 / 理查德·文彻 / 布莱德利·惠特福德 / 罗谢尔·奥利弗,剧情,美国,英语,1992-12-23(美国),157 分钟,9.1,1036715
好东西,https://img2.doubanio.com/view/photo/m_ratio_poster/public/p2915454411.jpg,邵艺辉,邵艺辉,宋佳 / 钟楚曦 / 曾慕梅 / 章宇 / 赵又廷 / 任彬 / 张弛 / 周野芒,剧情 / 爱情,中国大陆,汉语普通话,2024-11-22(中国大陆),123分钟,8.9,1245358
黑客帝国,https://img1.doubanio.com/view/photo/m_ratio_poster/public/p451926968.jpg,莉莉·沃卓斯基 / 拉娜·沃卓斯基,,基努·里维斯 / 劳伦斯·菲什伯恩 / 凯瑞-安·莫斯 / 雨果·维文 / 格洛丽亚·福斯特 / 乔·潘托里亚诺 / 马库斯·钟 / 朱利安·阿拉汗加,动作 / 科幻,美国,英语,2000-01-14(中国大陆),136分钟,9.1,965418
指环王1：护戒使者,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2197698335.jpg,彼得·杰克逊,弗兰·威尔士,伊利亚·伍德 / 西恩·奥斯汀 / 伊恩·麦克莱恩 / 维果·莫腾森 / 奥兰多·布鲁姆 / 多米尼克·莫纳汉 / 比利·博伊德 / 克里斯托弗·李,剧情 / 动作 / 奇幻,新西兰 / 美国 / 英国,英语 / 辛达林语,2002-04-04(中国大陆),179分钟 / 208分钟(加长版) / 228分钟(蓝光加长版),9.1,974802
罗马假日,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2189265085.jpg,威廉·惠勒,达尔顿·特朗勃,奥黛丽·赫本 / 格利高里·派克 / 埃迪·艾伯特 / 哈特利·鲍尔 / 哈考特·威廉姆斯 / 玛格丽特·罗林斯 / 托里奥·卡米纳提 / 保罗·卡利尼,剧情 / 喜剧 / 爱情,美国,英语 / 意大利语 / 德语,1953-08-20(威尼斯电影节),118分钟,9.1,1059533
天堂电影院,https://img1.doubanio.com/view/photo/m_ratio_poster/public/p2653054340.jpg,朱塞佩·托纳多雷,朱塞佩·托纳多雷,菲利普·努瓦雷 / 萨瓦特利·卡西欧 / 雅克·贝汉 / 马克·莱昂纳蒂 / 莱奥波多·特里耶斯泰 / 安东内拉·阿蒂利 / 恩佐·卡拉瓦勒 / 艾萨·丹尼埃利,剧情 / 爱情,意大利 / 法国,意大利语,2021-06-11(中国大陆),173分钟(导演剪辑版) / 125分钟 / 124分钟(中国大陆),9.2,750384
摩登时代,https://img1.doubanio.com/view/photo/m_ratio_poster/public/p2263408369.jpg,查理·卓别林,查理·卓别林,查理·卓别林 / 宝莲·高黛 / 亨利·伯格曼 / 蒂尼·桑福德 / 切斯特·康克林 / 汉克·曼 / 斯坦利·布莱斯通 / 阿尔·欧内斯特·加西亚,剧情 / 喜剧 / 爱情,美国,英语,1936-02-25(美国),87分钟,9.3,353204
哈利·波特与阿兹卡班的囚徒,https://img1.doubanio.com/view/photo/m_ratio_poster/public/p2913456870.jpg,阿方索·卡隆,史蒂夫·克洛夫斯,丹尼尔·雷德克里夫 / 艾玛·沃森 / 鲁伯特·格林特 / 加里·奥德曼 / 朱丽·沃特斯 / 邦妮·怀特 / 大卫·休里斯 / 迈克尔·刚本,奇幻 / 冒险,英国 / 美国,英语,2004-09-10(中国大陆),141分钟,9.0,907467
哈利·波特与死亡圣器(下),https://img1.doubanio.com/view/photo/m_ratio_poster/public/p2913457020.jpg,大卫·叶茨,史蒂夫·克洛夫斯,丹尼尔·雷德克里夫 / 艾玛·沃森 / 鲁伯特·格林特 / 海伦娜·伯翰·卡特 / 拉尔夫·费因斯 / 艾伦·瑞克曼 / 玛吉·史密斯 / 汤姆·费尔顿,奇幻 / 冒险,美国 / 英国,英语,2011-08-04(中国大陆),130分钟,9.0,985907
功夫,https://img1.doubanio.com/view/photo/m_ratio_poster/public/p2219011938.jpg,周星驰,曾瑾昌,周星驰 / 元秋 / 元华 / 黄圣依 / 梁小龙 / 陈国坤 / 田启文 / 林子聪,喜剧 / 动作 / 犯罪,中国大陆 / 中国香港,粤语 / 汉语普通话 / 手语,2004-12-23(中国大陆),100分钟(3D重映) / 95分钟(中国大陆) / 99分钟(美国),8.9,1365603
一一,https://img3.doubanio.com/view/photo/m_ratio_poster/public/p2923629857.jpg,杨德昌,杨德昌,吴念真 / 李凯莉 / 金燕玲 / 张洋洋 / 萧淑慎 / 尾形一成 / 陈希圣 / 林孟瑾,剧情 / 爱情 / 家庭,中国台湾 / 日本,汉语普通话 / 闽南语 / 英语 / 日语,2017-07-28(中国台湾),173分钟,9.1,528445
美丽心灵,https://img1.doubanio.com/view/photo/m_ratio_poster/public/p1665997400.jpg,朗·霍华德,阿齐瓦·高斯曼,罗素·克劳 / 艾德·哈里斯 / 詹妮弗·康纳利 / 克里斯托弗·普卢默 / 保罗·贝坦尼 / 亚当·戈德堡 / 乔什·卢卡斯 / 安东尼·拉普,剧情 / 传记,美国,英语,2001-12-13(加州首映),135分钟,9.1,862146
背靠背，脸对脸,https://img3.doubanio.com/view/photo/m_ratio_poster/public/p2505048077.jpg,黄建新 / 杨亚洲,,牛振华 / 雷恪生 / 李强 / 句号 / 王劲松 / 戈治均 / 佘南南 / 张嘉益,剧情,中国大陆 / 中国香港,汉语普通话,1994-09-10(多伦多电影节),148分钟 / 205分钟(电视剧加长版),9.4,186645
窃听风暴,https://img1.doubanio.com/view/photo/m_ratio_poster/public/p1808872109.jpg,弗洛里安·亨克尔·冯·多纳斯马尔克,弗洛里安·亨克尔·冯·多纳斯马尔克,乌尔里希·穆埃 / 马蒂娜·格德克 / 塞巴斯蒂安·科赫 / 乌尔里希·图库尔 / 托马斯·蒂梅 / 汉斯-尤韦·鲍尔 / 沃克马·克莱纳特 / 马提亚斯·布伦纳,剧情 / 悬疑,德国,德语,2006-03-23(德国),137分钟,9.2,639936
音乐之声,https://img1.doubanio.com/view/photo/m_ratio_poster/public/p2585102899.jpg,罗伯特·怀斯,,朱莉·安德鲁斯 / 克里斯托弗·普卢默 / 埃琳诺·帕克 / 理查德·海顿 / 佩吉·伍德 / 查尔敏·卡尔 / 希瑟·孟席斯-尤里克 / 尼古拉斯·哈蒙德,剧情 / 爱情 / 歌舞,美国,英语 / 德语,1965-03-02(美国),174分钟,9.1,694166
拯救大兵瑞恩,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p1014542496.jpg,史蒂文·斯皮尔伯格,罗伯特·罗达特,汤姆·汉克斯 / 汤姆·塞兹摩尔 / 爱德华·伯恩斯 / 巴里·佩珀 / 亚当·戈德堡 / 范·迪塞尔 / 吉奥瓦尼·瑞比西 / 杰瑞米·戴维斯,剧情 / 战争,美国,英语 / 法语 / 德语 / 捷克语,1998-11-13(中国大陆),169分钟,9.1,737614
小鞋子,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2165511465.jpg,马基德·马基迪,马基德·马基迪,默罕默德·阿米尔·纳吉 / 阿米尔·法拉赫·哈什米安 / 巴哈丽·西迪奇 / 纳菲丝·贾法-穆罕默迪 / 费雷什特·萨拉班迪 / Dariush Mokhtari / 克里斯托弗·马利基,剧情 / 家庭 / 儿童,伊朗,波斯语,1997-02-01(曙光旬国际电影节),89分钟,9.2,474923
忠犬八公物语,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2603716224.jpg,神山征二郎,新藤兼人,仲代达矢 / 八千草薰 / 柳叶敏郎 / 尾美利德 / 石野真子 / 春川真澄 / 殿山泰司 / 加藤嘉,剧情,日本,日语,1987-08-01(日本),107 分钟,9.2,222734
本杰明·巴顿奇事,https://img3.doubanio.com/view/photo/m_ratio_poster/public/p2192535722.jpg,大卫·芬奇,埃里克·罗思,布拉德·皮特 / 凯特·布兰切特 / 朱莉娅·奥蒙德 / 芳妮·A·钱勃丝 / 伊莱亚斯·科泰斯 / 杰森·弗莱明 / 大卫·詹森 / 蒂尔达·斯文顿,剧情 / 爱情 / 奇幻,美国,英语 / 俄语 / 法语,2008-12-25(美国),166分钟,9.0,1118851
天书奇谭,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2700138245.jpg,王树忱 / 钱运达,,丁建华 / 毕克 / 苏秀 / 程晓桦 / 施融 / 于鼎 / 杨成纯 / 孙渝烽,动画 / 奇幻,中国大陆,汉语普通话,1983(中国大陆),89分钟 / 100分钟(中国大陆重映),9.2,344155
情书,https://img1.doubanio.com/view/photo/m_ratio_poster/public/p2648230660.jpg,岩井俊二,岩井俊二,中山美穗 / 丰川悦司 / 酒井美纪 / 柏原崇 / 范文雀 / 篠原胜之 / 铃木庆一 / 田口智朗,剧情 / 爱情,日本,日语,1999-03(中国大陆),117分钟,8.9,1345347
辩护人,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2158166535.jpg,杨宇硕,杨宇硕,宋康昊 / 金迎爱 / 吴达洙 / 郭度沅 / 任时完 / 宋永彰 / 郑元中 / 赵敏基,剧情,韩国,韩语,2013-12-18(韩国),127分钟,9.2,664499
